model,mode,target_frac,kept_frac,seed,mlm_loss
bert-base-uncased,baseline,1.0,1.0,0,2.3042
bert-base-uncased,baseline,1.0,1.0,1,2.046
bert-base-uncased,baseline,1.0,1.0,2,2.2827
bert-base-uncased,gd,-1.0,0.0334,0,9.1333
bert-base-uncased,gd,-1.0,0.0334,1,8.9504
bert-base-uncased,gd,-1.0,0.0334,2,9.0075
bert-base-uncased,spectral,0.7,0.6949,0,5.5578
bert-base-uncased,spectral,0.7,0.6949,1,5.2305
bert-base-uncased,spectral,0.7,0.6949,2,5.363
bert-base-uncased,uniform,0.7,0.7005,0,4.9251
bert-base-uncased,uniform,0.7,0.7005,1,4.6366
bert-base-uncased,uniform,0.7,0.7005,2,4.8426
bert-base-uncased,random,0.7,0.6815,0,5.4062
bert-base-uncased,random,0.7,0.6815,1,5.2708
bert-base-uncased,random,0.7,0.6815,2,5.3246
bert-base-uncased,spectral,0.5,0.5,0,7.3841
bert-base-uncased,spectral,0.5,0.5,1,7.31
bert-base-uncased,spectral,0.5,0.5,2,7.251
bert-base-uncased,uniform,0.5,0.5,0,6.6255
bert-base-uncased,uniform,0.5,0.5,1,6.542
bert-base-uncased,uniform,0.5,0.5,2,6.5009
bert-base-uncased,random,0.5,0.5001,0,6.8108
bert-base-uncased,random,0.5,0.5001,1,6.7695
bert-base-uncased,random,0.5,0.5001,2,6.7316
bert-base-uncased,spectral,0.3,0.3,0,7.8776
bert-base-uncased,spectral,0.3,0.3,1,7.7896
bert-base-uncased,spectral,0.3,0.3,2,7.743
bert-base-uncased,uniform,0.3,0.2995,0,7.7681
bert-base-uncased,uniform,0.3,0.2995,1,7.7253
bert-base-uncased,uniform,0.3,0.2995,2,7.6335
bert-base-uncased,random,0.3,0.3001,0,7.5407
bert-base-uncased,random,0.3,0.3001,1,7.5052
bert-base-uncased,random,0.3,0.3001,2,7.4128
albert-base-v2,baseline,1.0,1.0,0,12.855
albert-base-v2,baseline,1.0,1.0,1,13.0978
albert-base-v2,baseline,1.0,1.0,2,13.0109
albert-base-v2,gd,-1.0,0.0455,0,13.2945
albert-base-v2,gd,-1.0,0.0455,1,13.3848
albert-base-v2,gd,-1.0,0.0455,2,13.3412
albert-base-v2,spectral,0.7,0.6999,0,11.0311
albert-base-v2,spectral,0.7,0.6999,1,10.9725
albert-base-v2,spectral,0.7,0.6999,2,11.0771
albert-base-v2,uniform,0.7,0.7005,0,11.1164
albert-base-v2,uniform,0.7,0.7005,1,11.1061
albert-base-v2,uniform,0.7,0.7005,2,10.9766
albert-base-v2,random,0.7,0.6997,0,11.0107
albert-base-v2,random,0.7,0.6997,1,11.133
albert-base-v2,random,0.7,0.6997,2,11.1634
albert-base-v2,spectral,0.5,0.4998,0,11.0272
albert-base-v2,spectral,0.5,0.4998,1,11.2342
albert-base-v2,spectral,0.5,0.4998,2,11.1696
albert-base-v2,uniform,0.5,0.5,0,11.921
albert-base-v2,uniform,0.5,0.5,1,12.1708
albert-base-v2,uniform,0.5,0.5,2,11.9941
albert-base-v2,random,0.5,0.5001,0,10.9954
albert-base-v2,random,0.5,0.5001,1,11.2649
albert-base-v2,random,0.5,0.5001,2,11.1768
albert-base-v2,spectral,0.3,0.3001,0,14.6002
albert-base-v2,spectral,0.3,0.3001,1,14.6554
albert-base-v2,spectral,0.3,0.3001,2,14.6567
albert-base-v2,uniform,0.3,0.2995,0,16.3777
albert-base-v2,uniform,0.3,0.2995,1,16.3749
albert-base-v2,uniform,0.3,0.2995,2,16.4545
albert-base-v2,random,0.3,0.2999,0,16.1151
albert-base-v2,random,0.3,0.2999,1,16.2662
albert-base-v2,random,0.3,0.2999,2,16.278
bert-large-uncased,baseline,1.0,1.0,0,2.127
bert-large-uncased,baseline,1.0,1.0,1,1.8593
bert-large-uncased,baseline,1.0,1.0,2,2.1136
bert-large-uncased,gd,-1.0,0.0337,0,11.2544
bert-large-uncased,gd,-1.0,0.0337,1,11.1273
bert-large-uncased,gd,-1.0,0.0337,2,11.1801
bert-large-uncased,spectral,0.7,0.6974,0,3.2111
bert-large-uncased,spectral,0.7,0.6974,1,2.9153
bert-large-uncased,spectral,0.7,0.6974,2,3.2895
bert-large-uncased,uniform,0.7,0.7002,0,5.5996
bert-large-uncased,uniform,0.7,0.7002,1,5.2532
bert-large-uncased,uniform,0.7,0.7002,2,5.5753
bert-large-uncased,random,0.7,0.6875,0,5.6367
bert-large-uncased,random,0.7,0.6875,1,5.4275
bert-large-uncased,random,0.7,0.6875,2,5.5853
bert-large-uncased,spectral,0.5,0.5,0,8.9326
bert-large-uncased,spectral,0.5,0.5,1,8.7905
bert-large-uncased,spectral,0.5,0.5,2,8.7374
bert-large-uncased,uniform,0.5,0.5,0,9.4807
bert-large-uncased,uniform,0.5,0.5,1,9.221
bert-large-uncased,uniform,0.5,0.5,2,9.2677
bert-large-uncased,random,0.5,0.5,0,10.1279
bert-large-uncased,random,0.5,0.5,1,10.0066
bert-large-uncased,random,0.5,0.5,2,9.8693
bert-large-uncased,spectral,0.3,0.3,0,9.529
bert-large-uncased,spectral,0.3,0.3,1,9.4076
bert-large-uncased,spectral,0.3,0.3,2,9.5114
bert-large-uncased,uniform,0.3,0.2998,0,10.3297
bert-large-uncased,uniform,0.3,0.2998,1,10.0888
bert-large-uncased,uniform,0.3,0.2998,2,10.1742
bert-large-uncased,random,0.3,0.3,0,9.1227
bert-large-uncased,random,0.3,0.3,1,8.9066
bert-large-uncased,random,0.3,0.3,2,9.0065
