model,name,family,layer,shape,beta,p,N,Dstrict,DTW1,DTW2,DTW3,degenerate
bert-base-uncased,embeddings.word_embeddings.weight,emb_word,-1,"(30522, 768)",0.025162178101041873,768,30522,0.4255537347922744,0.11733111227928233,0.11540670338937103,0.11493041549988786,False
bert-base-uncased,embeddings.position_embeddings.weight,emb_position,-1,"(512, 768)",0.6666666666666666,512,768,0.556192367017565,0.5564475412190282,0.5595205895071156,0.5632297106884157,False
bert-base-uncased,embeddings.token_type_embeddings.weight,emb_token_type,-1,"(2, 768)",0.0026041666666666665,2,768,nan,nan,nan,nan,True
bert-base-uncased,encoder.layer.0.attention.self.query.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.12015382159294852,0.14565413006304273,0.14557260143281264,0.14546678230334553,False
bert-base-uncased,encoder.layer.0.attention.self.key.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.11232323364848651,0.13398130369504258,0.1346592605316404,0.1345602824940435,False
bert-base-uncased,encoder.layer.0.attention.self.value.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.08632616131921306,0.1111414453741224,0.11105727289182366,0.11173480279657144,False
bert-base-uncased,encoder.layer.0.attention.output.dense.weight,attn_out,0,"(768, 768)",1.0,768,768,0.0923834466032874,0.12174533883231775,0.12165538558185995,0.12153863181536945,False
bert-base-uncased,encoder.layer.0.intermediate.dense.weight,ffn_intermediate,0,"(3072, 768)",0.25,768,3072,0.12528609124856852,0.08220307818763883,0.08027431965158327,0.07933059415136268,False
bert-base-uncased,encoder.layer.0.output.dense.weight,ffn_output,0,"(768, 3072)",0.25,768,3072,0.09734855756989068,0.06036239455744835,0.056449810652416055,0.05445316555237584,False
bert-base-uncased,encoder.layer.1.attention.self.query.weight,attn_qkv,1,"(768, 768)",1.0,768,768,0.1054846578548359,0.12814185614601264,0.1280605952757657,0.12795512368222856,False
bert-base-uncased,encoder.layer.1.attention.self.key.weight,attn_qkv,1,"(768, 768)",1.0,768,768,0.12313418294393064,0.14976778142047809,0.14968625454703832,0.14958043769777674,False
bert-base-uncased,encoder.layer.1.attention.self.value.weight,attn_qkv,1,"(768, 768)",1.0,768,768,0.08933484412886056,0.11315731408809476,0.11381489954918933,0.11371513004583483,False
bert-base-uncased,encoder.layer.1.attention.output.dense.weight,attn_out,1,"(768, 768)",1.0,768,768,0.08398152766183353,0.11020114014226545,0.11010930460998514,0.10999010775787788,False
bert-base-uncased,encoder.layer.1.intermediate.dense.weight,ffn_intermediate,1,"(3072, 768)",0.25,768,3072,0.11654518553149776,0.0888311797165886,0.08764197909988958,0.0851836072655966,False
bert-base-uncased,encoder.layer.1.output.dense.weight,ffn_output,1,"(768, 3072)",0.25,768,3072,0.11883986124266485,0.09030026785493589,0.088421515177806,0.08681514335537127,False
bert-base-uncased,encoder.layer.2.attention.self.query.weight,attn_qkv,2,"(768, 768)",1.0,768,768,0.11348968289246891,0.13215760687776545,0.1320886649936474,0.13269415571211102,False
bert-base-uncased,encoder.layer.2.attention.self.key.weight,attn_qkv,2,"(768, 768)",1.0,768,768,0.1386754307983447,0.16031644308909876,0.16024543003984099,0.16015325948537384,False
bert-base-uncased,encoder.layer.2.attention.self.value.weight,attn_qkv,2,"(768, 768)",1.0,768,768,0.09016732759902557,0.11736534619500583,0.11727804086297716,0.11716472393115784,False
bert-base-uncased,encoder.layer.2.attention.output.dense.weight,attn_out,2,"(768, 768)",1.0,768,768,0.08439499007399859,0.10386732246954289,0.10445818163221382,0.10436859362488798,False
bert-base-uncased,encoder.layer.2.intermediate.dense.weight,ffn_intermediate,2,"(3072, 768)",0.25,768,3072,0.14123570930492788,0.12132104543848793,0.12049683929762145,0.11835279602383086,False
bert-base-uncased,encoder.layer.2.output.dense.weight,ffn_output,2,"(768, 3072)",0.25,768,3072,0.11611172196899469,0.09707583740790765,0.09523948621409867,0.09325082588623868,False
bert-base-uncased,encoder.layer.3.attention.self.query.weight,attn_qkv,3,"(768, 768)",1.0,768,768,0.10269502734513114,0.12463064830585407,0.12455365586431744,0.12445372442776614,False
bert-base-uncased,encoder.layer.3.attention.self.key.weight,attn_qkv,3,"(768, 768)",1.0,768,768,0.11145575188446427,0.13139020536358864,0.1313137499535486,0.13121451555073027,False
bert-base-uncased,encoder.layer.3.attention.self.value.weight,attn_qkv,3,"(768, 768)",1.0,768,768,0.10830013574583647,0.13959539946208166,0.14037147460440597,0.14025677752705823,False
bert-base-uncased,encoder.layer.3.attention.output.dense.weight,attn_out,3,"(768, 768)",1.0,768,768,0.07138808049201584,0.09061504364340034,0.09127044398206724,0.09190341422138298,False
bert-base-uncased,encoder.layer.3.intermediate.dense.weight,ffn_intermediate,3,"(3072, 768)",0.25,768,3072,0.12316247409779091,0.11161629677600116,0.11068240206736368,0.1102649824156981,False
bert-base-uncased,encoder.layer.3.output.dense.weight,ffn_output,3,"(768, 3072)",0.25,768,3072,0.10608823289345409,0.1014274654808201,0.09972643539306009,0.09915449002317483,False
bert-base-uncased,encoder.layer.4.attention.self.query.weight,attn_qkv,4,"(768, 768)",1.0,768,768,0.10245627106866223,0.12636027361063934,0.1270478114035165,0.1277140049911148,False
bert-base-uncased,encoder.layer.4.attention.self.key.weight,attn_qkv,4,"(768, 768)",1.0,768,768,0.10026878858892024,0.12245028449306627,0.1223692235176051,0.12226401137516085,False
bert-base-uncased,encoder.layer.4.attention.self.value.weight,attn_qkv,4,"(768, 768)",1.0,768,768,0.09201081116073417,0.11886043042094635,0.1187786148985307,0.1194541284949528,False
bert-base-uncased,encoder.layer.4.attention.output.dense.weight,attn_out,4,"(768, 768)",1.0,768,768,0.05679965237897261,0.06900105018697522,0.0689381232520091,0.06885644797475554,False
bert-base-uncased,encoder.layer.4.intermediate.dense.weight,ffn_intermediate,4,"(3072, 768)",0.25,768,3072,0.11446778394652934,0.09711878063150736,0.09609540954147094,0.0952344234484952,False
bert-base-uncased,encoder.layer.4.output.dense.weight,ffn_output,4,"(768, 3072)",0.25,768,3072,0.12917372625191761,0.10721470954994877,0.1047730703690598,0.10375089790129666,False
bert-base-uncased,encoder.layer.5.attention.self.query.weight,attn_qkv,5,"(768, 768)",1.0,768,768,0.10100507447663332,0.12257444809834894,0.12249524364766573,0.12239244115978432,False
