D_attn_out,D_attn_qkv,D_emb_position,D_emb_word,D_ffn_intermediate,D_ffn_output,D_pooler,auc_attn_vs_ffn,c_alpha,eps,model
0.0666,0.1185,0.5564,0.1173,0.1016,0.0856,0.2999,0.659,1,1e-12,bert-base-uncased
0.0666,0.1185,0.5564,0.1173,0.1016,0.0856,0.2999,0.659,1,1e-08,bert-base-uncased
0.0666,0.1185,0.5564,0.1173,0.1016,0.0856,0.2999,0.659,1,1e-06,bert-base-uncased
0.0666,0.1185,0.5564,0.1173,0.1016,0.0856,0.2999,0.659,1,0.0001,bert-base-uncased
0.0668,0.1185,0.5595,0.1154,0.0999,0.0839,0.2998,0.67,2,1e-12,bert-base-uncased
0.0668,0.1185,0.5595,0.1154,0.0999,0.0839,0.2998,0.67,2,1e-08,bert-base-uncased
0.0668,0.1185,0.5595,0.1154,0.0999,0.0839,0.2998,0.67,2,1e-06,bert-base-uncased
0.0668,0.1185,0.5595,0.1154,0.0999,0.0839,0.2998,0.67,2,0.0001,bert-base-uncased
0.067,0.1187,0.5632,0.1149,0.0983,0.0826,0.2997,0.687,3,1e-12,bert-base-uncased
0.067,0.1187,0.5632,0.1149,0.0983,0.0826,0.2997,0.687,3,1e-08,bert-base-uncased
0.067,0.1187,0.5632,0.1149,0.0983,0.0826,0.2997,0.687,3,1e-06,bert-base-uncased
0.067,0.1187,0.5632,0.1149,0.0983,0.0826,0.2997,0.687,3,0.0001,bert-base-uncased
0.0868,0.1287,0.4011,0.1009,0.1116,0.0878,0.3184,0.686,1,1e-12,bert-large-uncased
0.0868,0.1287,0.4011,0.1009,0.1116,0.0878,0.3184,0.686,1,1e-08,bert-large-uncased
0.0868,0.1287,0.4011,0.1009,0.1116,0.0878,0.3184,0.686,1,1e-06,bert-large-uncased
0.0868,0.1287,0.4011,0.1009,0.1116,0.0878,0.3184,0.686,1,0.0001,bert-large-uncased
0.087,0.1288,0.402,0.0985,0.1096,0.0864,0.3183,0.706,2,1e-12,bert-large-uncased
0.087,0.1288,0.402,0.0985,0.1096,0.0864,0.3183,0.706,2,1e-08,bert-large-uncased
0.087,0.1288,0.402,0.0985,0.1096,0.0864,0.3183,0.706,2,1e-06,bert-large-uncased
0.087,0.1288,0.402,0.0985,0.1096,0.0864,0.3183,0.706,2,0.0001,bert-large-uncased
0.0871,0.129,0.4043,0.0975,0.1079,0.0853,0.3182,0.725,3,1e-12,bert-large-uncased
0.0871,0.129,0.4043,0.0975,0.1079,0.0853,0.3182,0.725,3,1e-08,bert-large-uncased
0.0871,0.129,0.4043,0.0975,0.1079,0.0853,0.3182,0.725,3,1e-06,bert-large-uncased
0.0871,0.129,0.4043,0.0975,0.1079,0.0853,0.3182,0.725,3,0.0001,bert-large-uncased
