model,name,family,beta,n_spikes_naive,n_spikes_bbp,near_edge,Espike_naive,Espike_bbp
bert-base-uncased,embeddings.word_embeddings.weight,emb_word,0.0252,162,162,0,0.4463,0.4463
bert-base-uncased,embeddings.position_embeddings.weight,emb_position,0.6667,19,19,0,0.8135,0.8135
bert-base-uncased,encoder.layer.0.attention.self.query.weight,attn_qkv,1.0,35,35,0,0.3329,0.3329
bert-base-uncased,encoder.layer.0.attention.self.key.weight,attn_qkv,1.0,31,30,1,0.2823,0.2771
bert-base-uncased,encoder.layer.0.attention.self.value.weight,attn_qkv,1.0,35,35,0,0.2387,0.2387
bert-base-uncased,encoder.layer.0.attention.output.dense.weight,attn_out,1.0,39,37,2,0.2808,0.2703
bert-base-uncased,encoder.layer.0.intermediate.dense.weight,ffn_intermediate,0.25,33,33,0,0.1905,0.1905
bert-base-uncased,encoder.layer.0.output.dense.weight,ffn_output,0.25,36,35,1,0.1504,0.1475
bert-base-uncased,encoder.layer.1.attention.self.query.weight,attn_qkv,1.0,31,30,1,0.2997,0.2945
bert-base-uncased,encoder.layer.1.attention.self.key.weight,attn_qkv,1.0,36,35,1,0.3423,0.3371
bert-base-uncased,encoder.layer.1.attention.self.value.weight,attn_qkv,1.0,35,35,0,0.2601,0.2601
bert-base-uncased,encoder.layer.1.attention.output.dense.weight,attn_out,1.0,36,36,0,0.2612,0.2612
bert-base-uncased,encoder.layer.1.intermediate.dense.weight,ffn_intermediate,0.25,34,33,1,0.2002,0.1972
bert-base-uncased,encoder.layer.1.output.dense.weight,ffn_output,0.25,53,51,2,0.2153,0.2094
bert-base-uncased,encoder.layer.2.attention.self.query.weight,attn_qkv,1.0,28,27,1,0.2941,0.2889
bert-base-uncased,encoder.layer.2.attention.self.key.weight,attn_qkv,1.0,33,31,2,0.3356,0.3252
bert-base-uncased,encoder.layer.2.attention.self.value.weight,attn_qkv,1.0,37,36,1,0.269,0.2638
bert-base-uncased,encoder.layer.2.attention.output.dense.weight,attn_out,1.0,32,31,1,0.224,0.2188
bert-base-uncased,encoder.layer.2.intermediate.dense.weight,ffn_intermediate,0.25,48,47,1,0.252,0.249
bert-base-uncased,encoder.layer.2.output.dense.weight,ffn_output,0.25,48,48,0,0.2128,0.2128
bert-base-uncased,encoder.layer.3.attention.self.query.weight,attn_qkv,1.0,33,33,0,0.2908,0.2908
bert-base-uncased,encoder.layer.3.attention.self.key.weight,attn_qkv,1.0,29,29,0,0.2927,0.2927
bert-base-uncased,encoder.layer.3.attention.self.value.weight,attn_qkv,1.0,41,41,0,0.3078,0.3078
bert-base-uncased,encoder.layer.3.attention.output.dense.weight,attn_out,1.0,30,30,0,0.2094,0.2094
bert-base-uncased,encoder.layer.3.intermediate.dense.weight,ffn_intermediate,0.25,50,50,0,0.2371,0.2371
bert-base-uncased,encoder.layer.3.output.dense.weight,ffn_output,0.25,51,50,1,0.2115,0.2086
bert-base-uncased,encoder.layer.4.attention.self.query.weight,attn_qkv,1.0,35,35,0,0.2871,0.2871
bert-base-uncased,encoder.layer.4.attention.self.key.weight,attn_qkv,1.0,31,30,1,0.2824,0.2772
bert-base-uncased,encoder.layer.4.attention.self.value.weight,attn_qkv,1.0,37,36,1,0.2643,0.259
bert-base-uncased,encoder.layer.4.attention.output.dense.weight,attn_out,1.0,24,22,2,0.1552,0.1447
bert-base-uncased,encoder.layer.4.intermediate.dense.weight,ffn_intermediate,0.25,47,46,1,0.2141,0.2111
bert-base-uncased,encoder.layer.4.output.dense.weight,ffn_output,0.25,52,52,0,0.2272,0.2272
bert-base-uncased,encoder.layer.5.attention.self.query.weight,attn_qkv,1.0,32,31,1,0.2706,0.2654
bert-base-uncased,encoder.layer.5.attention.self.key.weight,attn_qkv,1.0,25,24,1,0.2782,0.273
bert-base-uncased,encoder.layer.5.attention.self.value.weight,attn_qkv,1.0,35,35,0,0.252,0.252
