model,name,family,layer,shape,beta,p,N,Dstrict,DTW2,n_spikes,spike_energy,boot_p_TW,degenerate
google/vit-base-patch16-224,encoder.layer.0.attention.attention.query.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.4788697429437856,0.5296779951480599,51,0.746527988401312,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.0.attention.attention.key.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.4828948151402004,0.5300779598657231,47,0.76384050974323,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.0.attention.attention.value.weight,attn_qkv,0,"(768, 768)",1.0,768,768,0.2271641659013527,0.2738126319768336,61,0.4788105147547872,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.0.attention.output.dense.weight,attn_out,0,"(768, 768)",1.0,768,768,0.21389833848625728,0.2565721750082842,54,0.46171793082474966,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.1.attention.attention.query.weight,attn_qkv,1,"(768, 768)",1.0,768,768,0.408832235933213,0.4579907551345787,55,0.6961979381024261,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.1.attention.attention.key.weight,attn_qkv,1,"(768, 768)",1.0,768,768,0.4417511698198707,0.49188252848395714,52,0.729816440102719,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.1.attention.attention.value.weight,attn_qkv,1,"(768, 768)",1.0,768,768,0.20531997355618858,0.24945793400933453,59,0.46098922368772666,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.1.attention.output.dense.weight,attn_out,1,"(768, 768)",1.0,768,768,0.1719732638268351,0.20166472185737466,45,0.3262310325065462,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.2.attention.attention.query.weight,attn_qkv,2,"(768, 768)",1.0,768,768,0.29064560017318625,0.336599288199792,56,0.5746686398743643,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.2.attention.attention.key.weight,attn_qkv,2,"(768, 768)",1.0,768,768,0.3264451300516989,0.3682007837667049,51,0.5865938574362355,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.2.attention.attention.value.weight,attn_qkv,2,"(768, 768)",1.0,768,768,0.21301027433341274,0.2630885733148654,60,0.4974312315116065,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.2.attention.output.dense.weight,attn_out,2,"(768, 768)",1.0,768,768,0.15737293426630744,0.1875750998213846,47,0.3249665186631145,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.3.attention.attention.query.weight,attn_qkv,3,"(768, 768)",1.0,768,768,0.22132836579354087,0.2630576303149881,53,0.48272610796435506,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.3.attention.attention.key.weight,attn_qkv,3,"(768, 768)",1.0,768,768,0.2544344988930495,0.29305613137435893,49,0.5087101654348818,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.3.attention.attention.value.weight,attn_qkv,3,"(768, 768)",1.0,768,768,0.20151669022518942,0.24889351689632438,56,0.4824907051613476,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.3.attention.output.dense.weight,attn_out,3,"(768, 768)",1.0,768,768,0.11498792258682522,0.1413089104786553,38,0.25299516046797293,0.004975124378109453,False
google/vit-base-patch16-224,encoder.layer.4.attention.attention.query.weight,attn_qkv,4,"(768, 768)",1.0,768,768,0.1867346687159792,0.22476908790170846,49,0.4405834526577248,0.004975124378109453,False
