model,name,family,beta,D_TW,alpha,alpha_ww,xmin,pl_ks,n_tail
bert-base-uncased,embeddings.word_embeddings.weight,emb_word,0.0252,0.1154,3.231,nan,0.9127145079578365,0.0845,321
bert-base-uncased,embeddings.position_embeddings.weight,emb_position,0.6667,0.5595,1.75,nan,0.08032727572764908,0.0949,298
bert-base-uncased,encoder.layer.0.attention.self.query.weight,attn_qkv,1.0,0.1456,2.761,nan,2.009335932309415,0.0268,110
bert-base-uncased,encoder.layer.0.attention.self.key.weight,attn_qkv,1.0,0.1347,3.104,nan,2.3363025820691923,0.0364,96
bert-base-uncased,encoder.layer.0.attention.self.value.weight,attn_qkv,1.0,0.1111,4.229,nan,3.266872309796702,0.0777,59
bert-base-uncased,encoder.layer.0.attention.output.dense.weight,attn_out,1.0,0.1217,3.043,nan,2.1929582108366277,0.0755,110
bert-base-uncased,encoder.layer.0.intermediate.dense.weight,ffn_intermediate,0.25,0.0803,3.607,nan,1.2600140732267076,0.0581,198
bert-base-uncased,encoder.layer.0.output.dense.weight,ffn_output,0.25,0.0564,4.411,nan,1.549477430446314,0.0344,140
bert-base-uncased,encoder.layer.1.attention.self.query.weight,attn_qkv,1.0,0.1281,2.783,nan,1.8411805273930593,0.0325,126
bert-base-uncased,encoder.layer.1.attention.self.key.weight,attn_qkv,1.0,0.1497,2.785,nan,2.159885814128805,0.0289,99
bert-base-uncased,encoder.layer.1.attention.self.value.weight,attn_qkv,1.0,0.1138,3.804,nan,3.3683092368291816,0.0686,53
bert-base-uncased,encoder.layer.1.attention.output.dense.weight,attn_out,1.0,0.1101,3.961,nan,3.506359575777843,0.071,49
bert-base-uncased,encoder.layer.1.intermediate.dense.weight,ffn_intermediate,0.25,0.0876,2.825,nan,2.682060810081411,0.0417,24
bert-base-uncased,encoder.layer.1.output.dense.weight,ffn_output,0.25,0.0884,4.062,nan,1.7328536335961966,0.0412,110
bert-base-uncased,encoder.layer.2.attention.self.query.weight,attn_qkv,1.0,0.1321,2.811,nan,1.755347708593906,0.0373,136
bert-base-uncased,encoder.layer.2.attention.self.key.weight,attn_qkv,1.0,0.1602,2.847,nan,2.447320282025579,0.0293,84
bert-base-uncased,encoder.layer.2.attention.self.value.weight,attn_qkv,1.0,0.1173,5.334,nan,4.858128355104742,0.0593,24
bert-base-uncased,encoder.layer.2.attention.output.dense.weight,attn_out,1.0,0.1045,4.831,nan,3.890655733164824,0.0318,36
bert-base-uncased,encoder.layer.2.intermediate.dense.weight,ffn_intermediate,0.25,0.1205,3.169,nan,1.1910418035685746,0.0259,203
